annee,delegation,superficie_irrigable_hectares,superficie_irriguee_hectares,superficie_exploitee_hectares,region_id,matched_region_ar,matched_region_fr
2024,الحرايرية,"**26,15",18.5,29,786,الحرايرية,alhrairia
2024,سيدي حسين,"**278,5",227,220.5,785,سيدي حسين,sidi hsin
2024,الوردية,NA,NA,NA,1219,القوادرية,alqouadria
2024,الكبارية,NA,NA,NA,1438,الكبارة,alkbara
2024,سيدي البشير,NA,NA,NA,337,سيدي البشير,sidi albchir
2024,جبل الجلود,NA,NA,NA,789,جبل الجلود,jbl aljloud
2024,حلق الوادي,NA,NA,NA,7,حلق الوادي,la goulette
2024,الكرم,"**4,75",3,3.5,231,الكرم,alkrm
2024,المرسى,**62,20,30,17,المرسى,la marsa
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,** تم تعديل المساحات السقوية وفقا لنتائج أشغال الجغر فة الرقمية,NA,NA,NA,NA
NA,NA,NA,NA,QGIS  لإعداد طبقة رقمية للأراضي السقوية,NA,NA,NA
