anne_programme,nom_fr,nom_ar,delegation,secteur,cap_init_m3,cap_sed_m3,sup_bv_ha,cout_paye_mille_dt,equip,objectif,financement,latitude_utm_m,longitude_utm_m,latitude_dd,longitude_dd,region_id,matched_region_ar,matched_region_fr
1997,O. El Guettar1,وادي القطار1,TESTOUR,Sidi Abdelaziz,90000,0,200,185500,Non,Exploitation,PN,541616,4053385,36.623386574000001,9.5578946410000007,1182,وادي الغار,ouadi alghar
1998,El Matria,الماطرية,TEBOURSOUK,Bir Touta,100000,80000,280,177200,Non,Exploitation,PN,518962,4042561,36.526033660000003,9.2111029309999992,1017,المخاطرية,almkhatria
1998,O. El Mjarjif,وادي المجرجف,BEJA NORD,Ksar Mesouar,15000,0,30,30000,Non,Protection,PN,527696,4075997,36.501539794999999,9.0757646540000003,NA,NA,NA
1998,O. El Guettar2,وادي القطار2,TESTOUR,Sidi Abdelaziz,76000,53000,190,160400,Non,Exploitation,PN,542475,4061654,36.619864196999998,9.4602597670000002,1182,وادي الغار,ouadi alghar
1998,O. El Khamri,وادي الخمري,TESTOUR,Sidi Ameur,200000,80000,350,263700,Non,Exploitation,PN,540539,4059357,36.582731146999997,9.5574566260000005,1341,وادي الخيل,ouadi alkhil
1999,El Hamri,وادي الحمري,BEJA SUD,Mastouta,240000,84000,517,266300,oui,Exploitation,PN,517586,4049928,36.593907833999999,9.1957029590000001,1350,وادي الربايع,ouadi alrbaia
1999,El Daoudi,الداودي,TEBOURSOUK,Ain jammala,100000,35000,214,169500,Non,Exploitation,PN,527935,4040003,36.503256739000001,9.3118771690000006,NA,NA,NA
1999,Ain El Ayoun,عين العيون,MEDJEZ EL BAB,Toukaber,200000,100000,260,251000,non,Exploitation,PN,547930,4065048,36.729084833000002,9.5365173839999997,NA,NA,NA
2000,Ain El Ghrab,عين الغراب,BEJA NORD,Ksar Mesouar,90000,30000,91,197300,Non,Exploitation,PN,527842,4076538,36.833187006000003,9.3114282710000005,NA,NA,NA
2000,Cherif,وادي الشريف,TESTOUR,Ain younes,90000,72000,300,184200,Non,Exploitation,PN,535343,4034439,36.685491888000001,9.4510917079999999,1350,وادي الربايع,ouadi alrbaia
2001,Ain Chalou,عين شالو,BEJA NORD,Munchar,200000,200000,200,281700,Non,Exploitation,PN,526560,4069211,36.767411740999997,9.2987917850000006,622,عين البطوم,ain albtoum
2001,Zarzoura,وادي زرزورة,BEJA SUD,Zouagha,400000,240000,440,446900,Oui,Exploitation,PN,507073,4062436,36.709568351999998,9.3143996040000001,NA,NA,NA
2002,S. Abdelaziz,سيدي عبد العزيز,TESTOUR,Sidi Abdelaziz,350000,263,710,328300,Non,Exploitation,PN,545829,4052649,36.616044410999997,9.5126291750000007,635,سيدي عبد العزيز,sidi abd alaziz
2002,Kebir,وادي الكبير,TESTOUR,Ain younes,130000,117000,400,181700,Non,Exploitation,PN,533343,4033678,36.446632520000001,9.3715388009999998,1350,وادي الربايع,ouadi alrbaia
2002,O. Zitoun,وادي زيتون,TESTOUR,Oued Zarga,100000,85000,345,225300,Oui,Exploitation,PN,539812,4064680,36.725506668999998,9.4444719609999996,749,وادي الزيتون,ouadi alzitoun
2003,Bou Hammara,بوحمارة,MEDJEZ EL BAB,Ksa Echikh,450000,193000,560,279500,Non,Exploitation,PN,549871,4070940,36.781873285000003,9.5584697540000008,NA,NA,NA
2003,Tadharra,تذرة,MEDJEZ EL BAB,Ksa Echikh,450000,260000,660,287100,Non,Exploitation,PN,550961,4071299,36.785700175999999,9.5707809630000007,NA,NA,NA
2004,Fidh El Hajri,فيض الحجري,TESTOUR,Ain Younes,150000,107000,230,210000,Non,Exploitation,PN,533892,4036063,36.468175387999999,9.3784167440000008,NA,NA,NA
2004,O. Bou Neb,وادي بوناب,TESTOUR,Testour,160000,75000,200,216000,Non,Exploitation,PN,542538,4045905,36.556657911999999,9.4745565880000004,NA,NA,NA
2004,El Yousr,اليسر,BEJA NORD,M'khachbia,160000,150000,180,187000,Non,Exploitation,PN,526339,4061194,36.694819201999998,9.2935179179999992,562,السرس,alsrs
2006,Sfaya,الصفاية,GOUBELLAT,Bir El Ich,210000,189000,848,207950,Non,Exploitation,PN,554542,4035187,36.459595204000003,9.6088938190000004,410,الصفاية,alsfaia
2007,El Guettar,القطار,GOUBELLAT,Bir El Ich,160000,144000,492,226950,Non,Exploitation,PN,553558,4035454,36.461516007,9.5980830059999995,602,القطار,alqtar
2007,O. El Hamri2,وادي الحمري-2,BEJA SUD,Mastouta,190000,181000,405,283000,Oui,Exploitation,PN,516245,4051432,36.606262884000003,9.1815334919999998,NA,NA,NA
2007,Knana,كنانة,TESTOUR,Ain younes,90000,89000,375,236350,Non,Exploitation,PN,537293,4034288,36.451912057999998,9.4162796140000005,1396,كنانة,knana
2008,Bortila,بورطيلة,TESTOUR,Ain younes,214000,214000,603,270800,Non,Exploitation,PN,531019,4041622,36.518326852999998,9.3457683360000008,NA,NA,NA
2009,O. Loubine,وادي لوبين,BEJA SUD,Sidi Smail,50000,209000,315,293000,Oui,Exploitation,PN,516715,4049117,36.586414022,9.1858579000000002,NA,NA,NA
2010,O. Bidziriyya,وادي بدزرية,BEJA SUD,Hammen sayyala,200000,200000,115,311530,Non,Exploitation,PN,518005,4057010,36.665580980999998,9.1263147080000007,NA,NA,NA
2011,O. El Malah,وادي المالح,MEDJEZ EL BAB,Sidi Errayes,149000,149000,294,321370,Non,Exploitation,FCGBV,554714,4049855,36.602485719999997,9.59600528,741,واد الماو,ouad almaou
