annee,gouvernorat,superficie_ha,nombre,region_id,matched_region_ar,matched_region_fr
2024,صفاقس,0,0,10,صفاقس,sfax
2024,المهدية,0,0,35,المهدية,almhdia
2024,المنستير,1.5,1,20,المنستير,monastir
2024,قابس,0,0,14,قابس,gabès
2024,توزر,0,0,45,توزر,touzr
2024,تطاوين,0,0,5,تطاوين,tataouine
2024,مدنين,0,0,26,مدنين,mdnin
2024,قبلي,0,0,46,قبلي,qbli
2025,تونس,0,2,1,تونس,tunis
2025,أريانة,8.12,21,21,أريانة,ariana
2025,بن عروس,2.15,15,19,بن عروس,ben arous
2025,منوبة,53.58,67,774,منوبة,mnouba
2025,نابل,30.61,43,11,نابل,nabeul
2025,زغوان,824.75,74,318,زغوان,zghouan
2025,بنزرات,514.66,103,15,بنزرت,bizerte
2025,باجة,946.12,159,28,باجة,baja
2025,جندوبة,317.54,199,37,جندوبة,jndouba
2025,الكاف,77.21,162,36,الكاف,alkaf
2025,سليانة,1446.21,46,770,سليانة,sliana
2025,القصرين,236.45,87,18,القصرين,kasserine
2025,سيدي بوزيد,2.75,8,167,سيدي بوزيد,sidi bouzid
2025,القيروان,36.17,29,13,القيروان,kairouan
2025,قفصة,0,4,16,قفصة,gafsa
2025,سوسة,12.32,66,12,سوسة,sousse
2025,صفاقس,0.05,2,10,صفاقس,sfax
2025,المهدية,0,1,35,المهدية,almhdia
2025,المنستير,0.32,6,20,المنستير,monastir
2025,قابس,0,2,14,قابس,gabès
2025,توزر,0,0,45,توزر,touzr
2025,تطاوين,0,0,5,تطاوين,tataouine
2025,مدنين,0,0,26,مدنين,mdnin
2025,قبلي,0,4,46,قبلي,qbli
