file,rows,region_column,matched
distribution of forest and pastoral areas -CRDA Sousse-.xlsx,12,delegation_ar,8
Distribution of forest land areas by governorate in hectares.xlsx,24,gouvernorat,21
Distribution of forest plantations campaign 17-18 governorate of Manouba.xlsx,4,NA,0
Distribution of the total area according to vocation (2024) - Governorate of Medenine.xlsx,10,delegation,4
Forest fires.xlsx,576,gouvernorat,576
Forest Production - Governorate of Béja.xlsx,20,delegation,14
List of forest nurseries.xlsx,1643,gouvernorat,1643
permit for monitoring the use of forest areas (Medenine governorate).xlsx,2,NA,0
