annee,station,moyenne_mois,septembre,octobre,novembre,decembre,janvier,fevrier,mars,avril,mai,juin,juillet,aout,total,region_id,matched_region_ar,matched_region_fr
2025,تبرسق,المعدل,37,63,60,72,75,63,65,59,33,22,7.1,12,568.1,204,تبرسق,tbrsq
2025,Téboursouk,الشهر,55,12.5,9.5,71,63.5,53.5,66,86,66,14,0,13,510,NA,NA,NA
2025,مجاز الباب,المعدل,41,52,43,48,52,57,44,35,23,14,3.9,8.9,421.79999999999995,49,مجاز الباب,mjaz albab
2025,Medjez,الشهر,61.5,30,6,65,67.5,49,32,45,70,0,1,1.5,428.5,NA,NA,NA
2025,تستور,المعدل,26,53,55,45,57,45,53,38,24,7,7,6,416,429,تستور,tstour
2025,Testour,الشهر,54.5,19,14,49,49.5,48,50,64,73,0,8,2,431,429,تستور,tstour
2025,قبلاط,المعدل,24,56,47,41,51,45,50,32,24,8,5,3,386,790,قبلاط,qblat
2025,Goubellat,الشهر,47,26,6,48,53,35,40,105,55,3,5,1.5,424.5,NA,NA,NA
2025,تيبار,المعدل,37,53,63,93,86,74,68,56,40,29,5,7,611,725,تيبار,tibar
2025,Thibar,الشهر,44,25,18,83,114,67,66,104,75,0,4,1,601,725,تيبار,tibar
2025,المجموع,الشهر,420.7,280.1,241.8,941.3,780.5,447.1,530.6,712.6,606.5,17,27.9,24.4,NA,NA,NA,NA
