annee,nom,zone_dintervention,nombre_dadheents,capital_dinars,activites,remarques,region_id,matched_region_ar,matched_region_fr
2023,الإزدهار,معتمدية تيبار,34,16150,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2023,الأمـل,معتمدية عمدون,46,17200,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2023,أقري بن ساسي,معتمدية باجة الجنوبية,10,5050,الميكنة الفلاحية,NA,NA,NA,NA
2023,الكابتول,معتمدية تبرسق,41,5050,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2023,الزيتونة,معتمدية تبرسق,34,10000,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,NA,NA,NA,NA
2023,غلال دجبة,معتمدية تيبار,60,10000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2023,المستقبل,معتمدية نفزة,29,20000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,NA,NA,NA
2023,الوفاء,معتمدية باجة الجنوبية,7,25000,بيع مستلزمات الانتاج,غير ناشطة,NA,NA,NA
2023,الرمانة,معتمدية تستور,41,26000,بيع مستلزمات الانتاج- جمع و ترويج الرمان,NA,NA,NA,NA
2023,الاندلس,معتمدية تستور,7,5000,تنمية قطاع تربية الدواجن,NA,NA,NA,NA
2023,دار النحال,معتمدية تيبار,20,3000,تنمية قطاع تربية النحل,NA,NA,NA,NA
2023,cavicol,معتمدية تستور,7,13000,تنمية قطاع الدواجن,غير ناشطة,NA,NA,NA
2023,الريادة,معتمدية باجة الشمالية,7,10000,بيع مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2023,الإنطلاقة,معتمدية نفزة,7,4000,صناعة الجبن,غير ناشطة,NA,NA,NA
2023,كنوز جبل الأبيض,معتمدية نفزة,11,4000,تثمين المنتوجات الغابية,NA,NA,NA,NA
2023,مطمور روما,معتمدية باجة الجنوبية,7,1000,صناعة الجبن,NA,NA,NA,NA
2023,ولادة 'compost',معتمدية باجة الجنوبية,20,1000,إنتاج السماد العضوي,NA,NA,NA,NA
2023,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,10,10000,تنمية قطاع تربية الأغنام,NA,NA,NA,NA
2023,تربة بذور قصر الطير,معتمدية قبلاط,9,28000,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,NA,NA,NA,NA
2023,جنان هيفاء قرين,معتمدية قبلاط,7,10000,تحويل المنتوجات الفلاحية,في بداية النشاط,NA,NA,NA
2024,الإزدهار,معتمدية تيبار,34,16150,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2024,الأمـل,معتمدية عمدون,46,17200,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2024,أقري بن ساسي,معتمدية باجة الجنوبية,10,5050,الميكنة الفلاحية,NA,NA,NA,NA
2024,الكابتول,معتمدية تبرسق,41,5050,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2024,الزيتونة,معتمدية تبرسق,34,10000,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,NA,NA,NA,NA
2024,غلال دجبة,معتمدية تيبار,60,10000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2024,المستقبل,معتمدية نفزة,29,20000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,NA,NA,NA
2024,الوفاء,معتمدية باجة الجنوبية,7,25000,بيع مستلزمات الانتاج,غير ناشطة,NA,NA,NA
2024,الرمانة,معتمدية تستور,41,26000,بيع مستلزمات الانتاج- جمع و ترويج الرمان,NA,NA,NA,NA
2024,الاندلس,معتمدية تستور,7,5000,تنمية قطاع تربية الدواجن,NA,NA,NA,NA
2024,دار النحال,معتمدية تيبار,20,3000,تنمية قطاع تربية النحل,NA,NA,NA,NA
2024,cavicol,معتمدية تستور,7,13000,تنمية قطاع الدواجن,غير ناشطة,NA,NA,NA
2024,الإنطلاقة,معتمدية نفزة,7,4000,صناعة الجبن,غير ناشطة,NA,NA,NA
2024,كنوز جبل الأبيض,معتمدية نفزة,11,4000,تثمين المنتوجات الغابية,NA,NA,NA,NA
2024,مطمور روما,معتمدية باجة الجنوبية,7,1000,صناعة الجبن,NA,NA,NA,NA
2024,ولادة 'compost',معتمدية باجة الجنوبية,20,1000,إنتاج السماد العضوي,NA,NA,NA,NA
2024,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,10,10000,تنمية قطاع تربية الأغنام,NA,NA,NA,NA
2024,تربة بذور قصر الطير,معتمدية قبلاط,9,28000,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,NA,NA,NA,NA
2024,جنان هيفاء قرين,معتمدية قبلاط,7,10000,تحويل المنتوجات الفلاحية,في بداية النشاط,NA,NA,NA
2024,بيو بونيكا,تستور,23,NA,جمع و ترويج الرمان الزياتين و اللوزيات,NA,NA,NA,NA
2024,حقل الإستدامة,نفزة,7,NA,في طور الإنطلاق,في بداية النشاط,NA,NA,NA
2025,الإزدهار,معتمدية تيبار,25,16150,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2025,الأمـل,معتمدية عمدون,44,17200,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2025,أقري بن ساسي,معتمدية باجة الجنوبية,9,5050,الميكنة الفلاحية,NA,NA,NA,NA
2025,الكابتول,معتمدية تبرسق,44,5050,تنمية قطاع زيت الزيتون-تحويل المنتوجات الفلاحية,NA,NA,NA,NA
2025,الزيتونة,معتمدية تبرسق,59,10000,تنمية قطاع زيت الزيتون,NA,NA,NA,NA
2025,غلال دجبة,معتمدية تيبار,NA,10000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2025,المستقبل,معتمدية نفزة,NA,20000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,NA,NA,NA
2025,الوفاء,معتمدية باجة الجنوبية,NA,25000,بيع مستلزمات الانتاج,غير ناشطة,NA,NA,NA
2025,الرمانة,معتمدية تستور,41,26000,جمع و ترويج و تثمين الرمان,NA,NA,NA,NA
2025,الاندلس,معتمدية تستور,11,5000,تقديم الخدمات لفائدة مربي الدواجن,NA,NA,NA,NA
2025,دار النحال,معتمدية تيبار,NA,3000,تنمية قطاع تربية النحل,غير ناشطة,NA,NA,NA
2025,كافيكنور,معتمدية تستور,16,13000,تقديم الخدمات لفائدة مربي الدواجن,NA,NA,NA,NA
2025,كنوز جبل الأبيض,معتمدية نفزة,20,4000,تثمين المنتوجات الغابية,NA,NA,NA,NA
2025,مطمور روما,معتمدية باجة الجنوبية,17,1000,تقديم خدمات فلاحية لمربي الأبقار,NA,NA,NA,NA
2025,ولادة 'compost',معتمدية باجة الجنوبية,20,1000,خدمات فلاحية,NA,NA,NA,NA
2025,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,NA,10000,تنمية قطاع تربية الأغنام,لم تنشط,NA,NA,NA
2025,تربة بذور قصر الطير,معتمدية قبلاط,NA,28000,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,لم تنشط,NA,NA,NA
2025,جنان هيفاء قرين,معتمدية قبلاط,7,10000,تحويل المنتوجات الفلاحية,NA,NA,NA,NA
2025,بيو بونيكا,تستور,55,NA,جمع و ترويج الرمان الزياتين و اللوزيات,NA,NA,NA,NA
2025,حقل الإستدامة,نفزة,7,NA,الميكنة الفلاحية,NA,NA,NA,NA
2025,قيصر للخدمات الفلاحية,نفزة,8,NA,تحويل المنتوجات الفلاحية,NA,NA,NA,NA
