nom_centre_ar,adresse_ar,telephone,capacite_de_stockage_quintaux,region_id,matched_region_ar,matched_region_fr
"الشركة التعاونية ""الإخلاص""",القلعة الكبرى,50748936 / 95584666,5000,34,القلعة الكبرى,alqlaa alkbra
"الشركة التعاونية ""الخوالدية""",النفيضة,99788097,5000,419,النفيضة,alnfida
"الشركة التعاونية ""النعيم""",بوفيشة,98350020,5000,319,بوفيشة,bouficha
