ctv,telephone,gps,region_id,matched_region_ar,matched_region_fr
Tataouine nord,75861565,"32.927232752838115, 10.44906513113234",5,تطاوين,tataouine
Tataouine sud,75851034,"32.927232752838115, 10.44906513113234",5,تطاوين,tataouine
Smar,75886529,"32.99358193295737, 10.816594853062345",NA,NA,NA
Beni mhira,75884627,"32.87227703170058, 10.833234635431221",889,beni mhira,beni mhira
Remada,75867036,"32.32037253203283, 10.39810427101247",380,رمادة,rmada
Dehiba,75864087,"32.010564937676534, 10.698165635430021",418,ذيبية,dhibia
Bir lahmer,75848092,"33.18754107050895, 10.443158853570912",910,بئر الأحمر,bir alahmr
Ghomarassen,75869087,"33.06926246692101, 10.322253364267464",NA,NA,NA
