fid,osm_id,code,fclass,name,french_name
130,506035292,1010,suburb,مركز العلوي,mrkz alaloui
131,506035339,1050,locality,مركز بن حليمة,mrkz bn hlima
132,507972425,1040,region,بئر علي بن خليفة,bir ali bn khlifa
133,507972434,1040,region,الغريبة,alghriba
134,507972436,1041,county,صفاقس الغربية,sfaqs alghrbia
135,520156780,1003,village,الصغار,alsghar
136,520157034,1003,village,المرعنية,almrania
137,548180838,1002,town,عين دراهم,ain drahm
138,558814817,1003,village,طبلبة,tblba
139,558814858,1003,village,البقالطة,albqalta
140,558816730,1003,village,قصيبة المديوني,qsiba almdiouni
141,558816737,1003,village,لمطة,lmta
142,558816747,1003,village,خنيس,khnis
143,558816759,1003,village,صيادة,siada
144,558824767,1003,village,طوزة,touza
145,558826610,1003,village,البرجين,albrjin
146,558826611,1003,village,منزل كامل,mnzl kaml
147,558841086,1003,village,كركر,krkr
148,558841095,1003,village,الشوارعية,alchouaraia
149,558841112,1003,village,بو مرداس,bou mrdas
150,558841158,1003,village,أولاد دوادي,aoulad douadi
151,558841182,1003,village,السعد,alsad
152,558841228,1003,village,سيدي بنور,sidi bnour
153,558841242,1003,village,شيبة,chiba
154,558841302,1003,village,الدخيلة,aldkhila
155,558855437,1003,village,سيدي الهاني,sidi alhani
156,558855447,1003,village,غبغوب,ghbghoub
157,558962249,1003,village,سيدي علوان,sidi alouan
158,558962262,1002,town,قصور الساف,qsour alsaf
159,559394563,1003,village,الصخيرة,alskhira
160,559400353,1003,village,الموازير,almouazir
161,559400401,1003,village,المدو,almdou
162,559400484,1004,hamlet,العمارات,alamarat
163,559400503,1003,village,المطوية,almtouia
164,559400528,1004,hamlet,بوسعيد,bousaid
165,560792911,1003,village,الفوار,alfouar
166,560792912,1004,hamlet,الدرجين,aldrjin
167,561134924,1001,city,سيدي بوزيد,sidi bouzid
168,616794273,1010,suburb,ضفاف البحيرة 2,dfaf albhira 2
169,621851678,1010,suburb,السيدة المنوبية,alsida almnoubia
170,631655121,1010,suburb,حي ابن خلدون,hi abn khldoun
171,660826515,1002,town,سيدي ثابت,sidi thabt
172,674390291,1003,village,المطروحة,almtrouha
173,674390308,1003,village,رجيم معتوق,rjim matouq
174,674390385,1003,village,نويل,nouil
175,674390390,1003,village,البليدات,alblidat
176,674390400,1003,village,غليسية,ghlisia
178,674390466,1003,village,Ain Zigzaou,Ain Zigzaou
179,674433519,1050,locality,برج غربال,brj ghrbal
180,674433656,1003,village,درناية,drnaia
181,674434158,1003,village,حيدرة,hidra
182,674434208,1002,town,القلعة الخصبة,alqlaa alkhsba
183,674918398,1003,village,رفراف,rfraf
184,675058710,1002,town,الطويرف,altouirf
185,675145084,1003,village,العزائزة,alazaiza
186,675145102,1003,village,سيدي منصور,sidi mnsour
187,694068983,1002,town,المتلوي,almtloui
188,928626468,1003,village,شبيكة الجريد,chbika aljrid
189,928627591,1003,village,تمغزة,tmghza
190,1041092653,1004,hamlet,أم ذويل,am dhouil
191,1080388142,1003,village,شطرانة,chtrana
192,1080390577,1010,suburb,حي المنصورة 1,hi almnsoura 1
193,1083324475,1003,village,ببوش,bbouch
194,1088455110,1002,town,مكثر,mkthr
195,1099411041,1010,suburb,حشاد,hchad
196,1099411076,1050,locality,الرياض,alriad
197,1099411084,1050,locality,فطومة بورقيبة,ftouma bourqiba
198,1100411752,1050,locality,السعيدية,alsaidia
199,1104122473,1002,town,الرديف,alrdif
200,1109177626,1003,village,سيدي الجديدي,sidi aljdidi
201,1109384824,1003,village,تينجة,tinja
202,1114749818,1010,suburb,الزهور 2,alzhour 2
203,1115570559,1010,suburb,السيجومي,alsijoumi
204,1116804955,1002,town,تبرسق,tbrsq
205,1116808691,1003,village,دقة الجديدة,dqa aljdida
206,1121427516,1010,suburb,الزهور,alzhour
207,1121428168,1010,suburb,الزهور 3,alzhour 3
208,1123316513,1010,suburb,حي الطيران,hi altiran
209,1123401313,1010,suburb,حي النجاح,hi alnjah
210,1124133881,1003,village,بني خلاد,bni khlad
211,1124134746,1002,town,قرمبالية,qrmbalia
212,1124136154,1003,village,منزل بوزلفة,mnzl bouzlfa
213,1124155543,1003,village,سليمان,sliman
214,1127119919,1003,village,أولاد الشامخ,aoulad alchamkh
215,1127120485,1003,village,السواسي,alsouasi
216,1128016495,1002,town,الصمعة,alsmaa
217,1128018620,1002,town,بني خيار,bni khiar
218,1128656865,1004,hamlet,المرناقية,almrnaqia
219,1128657626,1004,hamlet,المريسة,almrisa
220,1128664030,1003,village,الهوارية,alhouaria
221,1128665422,1003,village,قربص,qrbs
222,1130137942,1004,hamlet,غار الفاس,ghar alfas
223,1131738794,1003,village,زانة,zana
224,1132950382,1003,village,ماتلين,matlin
225,1133125278,1050,locality,Cap Blanc,Cap Blanc
226,1133127431,1050,locality,الرأس الأسود,alras alasoud
227,1136725363,1010,suburb,حي الصنوبر,hi alsnoubr
228,1136725407,1010,suburb,الصفصاف,alsfsaf
229,1136725463,1010,suburb,قمرت,qmrt
230,1136725758,1010,suburb,سيدي داود,sidi daoud
231,1136725873,1002,town,الكرم,alkrm
232,1136727088,1010,suburb,حي الطيب المهيري,hi altib almhiri
233,1136727177,1002,town,العوينة,alaouina
234,1136727225,1001,city,قرطاج,qrtaj
235,1136727604,1010,suburb,قمرت العليا,qmrt alalia
236,1143501777,1010,suburb,الملاسين,almlasin
237,1144116784,1010,suburb,برج فليفل,brj flifl
238,1145298727,1010,suburb,برج زوارة,brj zouara
239,1147369793,1010,suburb,حي الطابق,hi altabq
240,1147369801,1010,suburb,حي الخليل,hi alkhlil
241,1147369832,1010,suburb,الرياض,alriad
242,1152863751,1050,locality,Oued el Kesria,Oued el Kesria
243,1152864905,1003,village,الرحمة,alrhma
244,1152865164,1050,locality,رأس الأحمر,ras alahmr
245,1152866574,1050,locality,رأس الدرك,ras aldrk
246,1156199988,1010,suburb,بوشوشة,bouchoucha
247,1156944210,1003,village,رواد,rouad
248,1157744669,1002,town,مرناق,mrnaq
249,1158752159,1010,suburb,حي التحرير,hi althrir
250,1163041168,1010,suburb,شاطئ رواد,chati rouad
251,1164941677,1010,suburb,المنزه 6,almnzh 6
252,1164941785,1010,suburb,المنزه 8,almnzh 8
253,1164941816,1010,suburb,حي النصر 2,hi alnsr 2
254,1164941933,1010,suburb,المنزه 5,almnzh 5
255,1164942161,1010,suburb,حي النصر 2,hi alnsr 2
256,1165828355,1003,village,بني حسان,bni hsan
257,1165828361,1003,village,جمال,jmal
258,1165832678,1003,village,زرمدين,zrmdin
259,1166000786,1010,suburb,حي القضاة,hi alqdaa
260,1166449247,1010,suburb,أميلكار,amilkar
261,1172434854,1004,hamlet,برج الطويل,brj altouil
262,1178986839,1010,suburb,المنار 1,almnar 1
263,1182969286,1020,island,قمنارية,qmnaria
264,1183575561,1010,suburb,الحدائق,alhdaiq
265,1184918055,1003,village,أكودة,akouda
266,1185290849,1010,suburb,حي الخضراء,hi alkhdra
267,1185766493,1010,suburb,حدائق المنزه 1,hdaiq almnzh 1
268,1185779583,1010,suburb,حدائق المنزه 2,hdaiq almnzh 2
269,1186068159,1003,village,هرقلة,hrqla
270,1187255756,1010,suburb,ضفاف البحيرة,dfaf albhira
271,1187470251,1002,town,تالة,tala
272,1187470257,1010,suburb,بوزقام,bouzqam
273,1187489028,1003,village,جلمة,jlma
274,1187489040,1003,village,حاجب العيون,hajb alaioun
275,1187534930,1002,town,سيدي عمر بوحجلة,sidi amr bouhjla
276,1187534934,1002,town,سيدي سعد,sidi sad
277,1187534946,1002,town,حفوز,hfouz
278,1187534954,1003,village,الهوارب,alhouarb
279,1187534975,1003,village,الشبيكة,alchbika
280,1187544017,1010,suburb,سيدي علي بن سالم,sidi ali bn salm
281,1190876843,1003,village,بئر بورقبة,bir bourqba
282,1190876862,1004,hamlet,خنقة الحجاج,khnqa alhjaj
283,1190877055,1004,hamlet,دوار الحاج محمد,douar alhaj mhmd
284,1190877201,1003,village,زاوية مرناق,zaouia mrnaq
285,1190877394,1003,village,فندق الجديد,fndq aljdid
286,1190877566,1004,hamlet,Camp Servière,Camp Servière
287,1190877693,1003,village,دوار أبو سام,douar abou sam
288,1190877955,1003,village,بلي,bli
289,1190878179,1003,village,تركي,trki
290,1190878345,1003,village,بوعرقوب,bouarqoub
291,1190878563,1003,village,حي الرسالة,hi alrsala
292,1191111511,1010,suburb,المنار 2,almnar 2
293,1200000228,1010,suburb,نرجس 2,nrjs 2
294,1200000229,1010,suburb,خليج الملائكة,khlij almlaika
295,1200000230,1010,suburb,نرجس 1,nrjs 1
296,1200000231,1010,suburb,زيتونة 2,zitouna 2
297,1200000232,1010,suburb,زيتونة 1,zitouna 1
298,1201922124,1050,locality,دوار سوميا,douar soumia
299,1201922631,1050,locality,دوار سيدي مسعود,douar sidi msaoud
300,1201923151,1004,hamlet,دوار الفدام,douar alfdam
301,1201923189,1004,hamlet,دوار عبد القادر,douar abd alqadr
302,1201923313,1004,hamlet,دوار نشمايا,douar nchmaia
303,1204588103,1002,town,الزهراء,alzhra
304,1205570513,1010,suburb,شطرانة 3,chtrana 3
305,1205571123,1010,suburb,دار فضال,dar fdal
306,1206447367,1003,village,سيدي عامر,sidi aamr
307,1206558973,1003,village,الوردانين,alourdanin
308,1206559008,1002,town,الساحلين,alsahlin
309,1209940751,1003,village,بلي المحطة,bli almhta
310,1212253275,1002,town,قصر هلال,qsr hlal
311,1212253279,1003,village,بنبلة,bnbla
312,1212253285,1003,village,بوحجر,bouhjr
313,1212270304,1003,village,منزل النور,mnzl alnour
314,1212270314,1003,village,مَزدُور,mَzdُour
315,1212280021,1003,village,منزل خير,mnzl khir
316,1213240938,1003,village,وادي الزيت,ouadi alzit
317,1215553264,1010,suburb,الحي الأولمبي,alhi alaoulmbi
318,1216174459,1002,town,زغوان,zghouan
319,1216186607,1003,village,بوفيشة,bouficha
320,1217713771,1003,village,منزل حرب,mnzl hrb
321,1217721026,1003,village,منارة,mnara
322,1217741814,1010,suburb,موتوالفيل,moutoualfil
323,1222501018,1004,hamlet,بوسليم,bouslim
324,1223650428,1003,village,شمتو,chmtou
325,1224796678,1003,village,حمام بنت الجديدي,hmam bnt aljdidi
326,1225165285,1003,village,كندار,kndar
327,1228012196,1010,suburb,المنزه 9 أ,almnzh 9 a
328,1228573457,1050,locality,Kranguet el Ouechtatia,Kranguet el Ouechtatia
329,1228573687,1004,hamlet,Dechret Bou Dabouss,Dechret Bou Dabouss
330,1230029994,1003,village,سلقطة,slqta
331,1232450738,1003,village,العلم,alalm
332,1232453286,1003,village,الدلوسي,aldlousi
333,1232459067,1003,village,السبيخة,alsbikha
334,1232796661,1004,hamlet,Barroukch,Barroukch
335,1236199551,1050,locality,الملاحة,almlaha
336,1237968887,1010,suburb,حي دوبو,hi doubou
337,1237971782,1010,suburb,سيدي البشير,sidi albchir
338,1247811403,1003,village,الرتيبة,alrtiba
339,1247812086,1003,village,بئر مروة,bir mroua
340,1251030962,1010,suburb,الإزدهار,alizdhar
341,1251049351,1010,suburb,أريانة الجديدة,ariana aljdida
342,1251424105,1050,locality,الاستقلال,alastqlal
343,1253816341,1010,suburb,التعمير1,altamir1
344,1253879318,1010,suburb,التعمير 2,altamir 2
345,1254004330,1010,suburb,المنزه 4,almnzh 4
346,1254005393,1010,suburb,المنزه 1,almnzh 1
347,1254022064,1010,suburb,التعمير 4,altamir 4
348,1254053612,1010,suburb,النزهة,alnzha
349,1255623181,1010,suburb,المستقبل,almstqbl
350,1255626528,1010,suburb,البلدية,albldia
351,1256202705,1010,suburb,مدينة تونس العتيقة,mdina touns alatiqa
352,1256204446,1010,suburb,مونفلوري,mounflouri
353,1257403631,1010,suburb,باب الجديد,bab aljdid
354,1257404621,1010,suburb,باب الفلة,bab alfla
355,1258831465,1010,suburb,باب سويقة,bab souiqa
356,1258832091,1010,suburb,الحلفاوين,alhlfaouin
357,1258833897,1010,suburb,باب الخضراء,bab alkhdra
358,1259515493,1003,village,غيزن,ghizn
359,1259515669,1002,town,سدويكش,sdouikch
360,1259515699,1050,locality,القنطرة,alqntra
361,1259515727,1003,village,Ouedrane,Ouedrane
362,1259515746,1003,village,Esrandi,Esrandi
363,1259515805,1003,village,Oualegh,Oualegh
364,1259515867,1003,village,أغير,aghir
365,1259515919,1003,village,بدوين,bdouin
366,1259515942,1003,village,ربانة,rbana
367,1259516070,1003,village,مزراية,mzraia
368,1259516109,1002,town,قلالة,qlala
369,1260351290,1010,suburb,لافايات,lafaiat
370,1260898572,1010,suburb,أريانة العليا,ariana alalia
371,1261495436,1010,suburb,مونبليزير,mounblizir
372,1262481293,1010,suburb,حي الزياتين,hi alziatin
373,1262665931,1010,suburb,الجبل الأحمر,aljbl alahmr
374,1263647437,1010,suburb,نوتردام,noutrdam
375,1264988354,1010,suburb,المنزه 9,almnzh 9
376,1275012701,1003,village,الدخيلة,aldkhila
377,1277766900,1003,village,بئر مشارقة,bir mcharqa
378,1277956973,1002,town,الفحص,alfhs
379,1278361178,1002,town,الذهيبة,aldhhiba
380,1278361348,1002,town,رمادة,rmada
381,1278517274,1003,village,برقو,brqou
382,1301344102,1003,village,بئر حليمة,bir hlima
383,1301344124,1003,village,المقرن,almqrn
384,1306244942,1003,village,الزريبة العليا,alzriba alalia
385,1309378861,1003,village,بنان,bnan
386,1310557105,1003,village,غزالة,ghzala
387,1356217172,1003,village,بوضر,boudr
388,1365035167,1003,village,سلوم,sloum
389,1374298056,1004,hamlet,المرجة,almrja
390,1374298064,1004,hamlet,النشع,alncha
391,1374298069,1004,hamlet,فرجون,frjoun
392,1374298081,1004,hamlet,غرمان,ghrman
393,1374298083,1004,hamlet,منزل سالم,mnzl salm
394,1374298091,1003,village,صاحب الجبل,sahb aljbl
395,1374298099,1003,village,زاوية المقايز,zaouia almqaiz
396,1374298108,1004,hamlet,زقاق,zqaq
397,1383651012,1003,village,الباطن,albatn
398,1384169997,1003,village,عين جلولة,ain jloula
399,1390303177,1003,village,سيدي مَديَن,sidi mَdiَn
400,1394269137,1003,village,لواتة,louata
401,1419131100,1003,village,صواف,souaf
402,1419136771,1003,village,الناظور,alnazour
403,1419714239,1003,village,أم الأبواب,am alabouab
404,1430921169,1003,village,ملّولة,mlّoula
405,1431139419,1003,village,رأس الراجل,ras alrajl
406,1431973885,1003,village,سجنان,sjnan
407,1432078784,1004,hamlet,جميل,jmil
408,1432078789,1003,village,نفزة,nfza
409,1432078792,1003,village,وشتاتة,ouchtata
410,1432323476,1004,hamlet,الصفاية,alsfaia
411,1432323477,1004,hamlet,تبابة,tbaba
412,1432735563,1003,village,بازينة,bazina
413,1433130924,1003,village,جومين,joumin
414,1435053835,1004,hamlet,Oued Ezarga,Oued Ezarga
415,1435708228,1003,village,الشويقي,alchouiqi
416,1435708256,1002,town,طبربة,tbrba
417,1439531924,1003,village,دار بلواعر,dar blouaar
418,1439531927,1004,hamlet,ذيبية,dhibia
419,1439531928,1002,town,النفيضة,alnfida
420,1439531929,1003,village,الفرادة,alfrada
421,1439531930,1004,hamlet,مرابط حشاد,mrabt hchad
422,1444704282,1004,hamlet,بومرادة,boumrada
423,1444704283,1004,hamlet,المهاذبة الشرقية,almhadhba alchrqia
424,1444704293,1003,village,سيدي بو علي,sidi bou ali
425,1452253010,1003,village,قعفور,qafour
426,1452253016,1003,village,العروسة,alarousa
427,1452253022,1003,village,الكريب,alkrib
428,1452253031,1003,village,السلوقية,alslouqia
429,1452253103,1002,town,تستور,tstour
430,1455372132,1004,hamlet,السويح,alsouih
431,1455372141,1004,hamlet,منزل المحطة,mnzl almhta
432,1455372145,1004,hamlet,المهاذبة الغربية,almhadhba alghrbia
433,1494839482,1003,village,كروسية,krousia
434,1495587105,1003,village,القلعة الصغرى,alqlaa alsghra
435,1513243568,1003,village,أوتيك الجديدة,aoutik aljdida
436,1513517120,1003,village,الخيتمين,alkhitmin
437,1525093055,1004,hamlet,أولاد جبس,aoulad jbs
438,1525093060,1004,hamlet,بئر الطيب,bir altib
439,1533192004,1010,suburb,زاوية قنطش,zaouia qntch
440,1542566698,1010,suburb,مرسى القنطاوي,mrsa alqntaoui
441,1544620232,1004,hamlet,معتمر,matmr
442,1544651749,1003,village,القصيبة,alqsiba
443,1544651752,1003,village,الثريات,althriat
444,1544651763,1010,suburb,زاوية سوسة,zaouia sousa
445,1544821258,1003,village,بوعرادة,bouarada
446,1547749332,1003,village,المسعدين,almsadin
447,1550337336,1003,village,الكنايس,alknais
448,1550337411,1004,hamlet,,nan
449,1550337666,1004,hamlet,,nan
450,1553337251,1003,village,المزارة ⴻⵍⵎⵣⴰⵔⴰ,almzara ⴻⵍⵎⵣⴰⵔⴰ
451,1561079549,1002,town,وذرف,oudhrf
452,1564481999,1003,village,المرناقية,almrnaqia
453,1565700881,1003,village,فردوس ⴼⴻⵔⴷⵓⵙ,frdous ⴼⴻⵔⴷⵓⵙ
454,1565700918,1004,hamlet,Mih Naceur,Mih Naceur
455,1566167629,1003,village,حزوة,hzoua
456,1567848345,1010,suburb,حي الرياض,hi alriad
457,1567848386,1010,suburb,حي الزهور,hi alzhour
458,1574569459,1003,village,بني كلثوم,bni klthoum
459,1609232651,1003,village,الموردين,almourdin
460,1631463921,1003,village,القوسة,alqousa
461,1631847316,1003,village,جاب الله,jab allh
462,1655884872,1002,town,غمراسن,ghmrasn
463,1656920925,1010,suburb,حي النصر 1,hi alnsr 1
464,1657474545,1002,town,بني خداش,bni khdach
465,1673670292,1003,village,قصر أولاد دباب,qsr aoulad dbab
466,1674073019,1050,locality,عين سخونة,ain skhouna
467,1674073020,1050,locality,بئر بيستور,bir bistour
468,1674073021,1050,locality,بئر زار,bir zar
469,1674073022,1050,locality,Checkpoint Tiaret,Checkpoint Tiaret
470,1674073023,1050,locality,تيارت,tiart
471,1692829408,1003,village,نَقطة,nَqta
472,1694425199,1010,suburb,مركز بوعصيدة,mrkz bouasida
473,1694687209,1004,hamlet,السمارة,alsmara
474,1694693776,1004,hamlet,الحشيشينة,alhchichina
475,1696182443,1004,hamlet,العكاريت,alakarit
476,1712490982,1004,hamlet,سيدي مطير,sidi mtir
477,1718389538,1010,suburb,جنان الحمامات,jnan alhmamat
478,1738650159,1003,village,الزراوة الجديدة,alzraoua aljdida
479,1761154967,1003,village,أولاد العابد,aoulad alaabd
480,1761268129,1003,village,بنت سعيدان,bnt saidan
481,1761268130,1003,village,جوقار,jouqar
482,1762634620,1004,hamlet,جباس,jbas
