annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,lait_tonne,miel_tonne,laine_tonne,o_eufs_million_unites,region_id,matched_region_ar,matched_region_fr
2023,غار الملح,600,230,7100,2,11,0,114,غار الملح,ghar almlh
2023,أوتيك,820,1200,19300,2,25,20,NA,NA,NA
2023,المجموع,7810,2884,135000,60,213,109,NA,NA,NA
2024,بنزرت الشمالية,56,40,2000,1,4,0,NA,NA,NA
2024,بنزرت الجنوبية,670,470,14500,9,20,1,NA,NA,NA
2024,جرزونة,5,0,80,0,0,0,692,جرزونة,jrzouna
2024,منزل جميل,250,25,6000,4,4,0,1134,منزل جميل,mnzl jmil
2024,منزل بورقيبة,240,15,4500,1,12,0,32,منزل بورقيبة,mnzl bourqiba
2024,تينجة,110,8,2200,1,6,0,201,تينجة,tinja
2024,ماطر,760,440,10500,6,20,79,52,ماطر,matr
2024,غزالة,550,30,8500,6,28,0,386,غزالة,ghzala
2024,جومين,850,25,17800,20,35,0,413,جومين,joumin
2024,سجنان,790,46,17600,55,36,0,406,سجنان,sjnan
2024,العالية,850,265,12900,5,5,2,496,العالية,alaalia
2024,رأس الجبل,1050,170,11300,18,7,0,113,رأس الجبل,ras aljbl
2024,غار الملح,550,250,8200,7,10,2,114,غار الملح,ghar almlh
2024,أوتيك,780,1250,19500,8,25,17,NA,NA,NA
2024,المجموع,7511,3034,135580,141,212,101,NA,NA,NA
